name	city	state	founded	lat	long
Truth or Consequences Brewing Company	Truth Or Consequences	New Mexico	2016	33.1	-106.8
Tumbleroot Brewing, LLC	Santa Fe	New Mexico	2018	35.5	-105.9
Turtle Mountain Brewing	Rio Rancho	New Mexico	1999	35.3	-106.7
Two22brew	Aurora	Colorado	2013	39.62	-104.78
Uberbrew LLC	Billings	Montana	2012	45.7	-108.4
Uinta Brewing Company	Salt Lake City	Utah	1993	40.75	-111.99
Unnamed Beer Company, LLC	Boulder	Colorado	2017	40.05	-105.21
Up North Distillery, LLC	Post Falls	Idaho	2015	47.7	-116.9
Upslope Brewing Co	Boulder	Colorado	2008	40.05	-105.21
Millercoors LLC	Milwaukee	Wisconsin	1855	43.04	-87.97
Utah Brewers Cooperative, L.C.	Salt Lake City	Utah	2000	40.71	-111.89
Vail Brewing Company	Avon	Colorado	2014	39.63	-106.52
Veterans' Beer Alliance, Inc.	Colorado Springs	Colorado	2016	38.88	-104.82
Vida Pueblo Brewing Company	Tucson	Arizona	2013	32.22	-110.97
Anheuser-Busch, LLC	Jersey City	New Jersey	1852	40.72	-74.05
Wanderlust Brewing Company	Flagstaff	Arizona	2010	36.0	-111.0
Anheuser-Busch, LLC	Baldwinsville	New York	1852	43.2	-76.4
Weldwerks Brewing Company, LLC	Greeley	Colorado	2014	40.4	-104.7
Whichcraft, LLC	Denver	Colorado	2013	39.68	-104.96
Whistling Hare Distillery	Golden	Colorado	2014	39.8	-105.3
White Mountain Brewing Co LLC	Williams	Arizona	2007	35.7	-112.5
Wicked Monkey Brewing Company, L.L.C.	Marana	Arizona	2013	32.3	-111.7
Wild Egde Brewing Collective	Cortez	Colorado	2017	37.3	-108.7
Wilderness Brewing Co	Roberts	Montana	1996	45.3	-109.2
Windsor Can Plant	Windsor	Colorado	2011	40.5	-104.9
Wmc/Pbd LLC	Pine Bluffs	Wyoming	2016	41.3	-104.2
Yellowstone Valley Brewing LLC	Billings	Montana	1996	45.7	-108.4
127 Brewing	Jackson	Michigan	2016	42.2	-84.4
14th Star Brewing LLC	Saint Albans	Vermont	2014	44.8	-73.1
1812 Brewing Company, Inc.	Watertown	New York	2017	44.0	-75.9
1a Distillery Consulting LLC	Ipswich	Massachusetts	2015	42.7	-70.8
2 Tones Brewing Co	Columbus	Ohio	2016	39.97	-82.87
2124 Brewing Company LLC	Pittsburgh	Pennsylvania	2012	40.5	-80.08
2nd Bridge Brewing Co LLC	Manchester	Connecticut	2016	41.8	-72.53
3cross Brewing Company	Worcester	Massachusetts	2013	42.25	-71.84
412 Brews Inc	Coraopolis	Pennsylvania	2015	40.5	-80.19
459 Brewers Bridge LLC	Jackson	New Jersey	2015	40.1	-74.4
46 and 2 Brewing LLC	Cleveland Heights	Ohio	2015	41.51	-81.57
5 Mile Brewing Company LLC	Detroit	Michigan	2016	42.35	-83.0
